Weekly U.S. Product Supplied of Finished Motor Gasoline,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFUPUS2&f=W,
18:16:00 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
1/27/2017,8310
1/20/2017,8039
1/13/2017,8069
1/6/2017,8470
12/30/2016,8465
12/23/2016,9278
12/16/2016,9269
12/9/2016,8874
12/2/2016,8757
11/25/2016,9080
11/18/2016,9024
11/11/2016,9359
11/4/2016,9213
10/28/2016,9183
10/21/2016,9118
10/14/2016,8798
10/7/2016,9264
9/30/2016,9390
9/23/2016,8880
9/16/2016,9650
9/9/2016,9406
9/2/2016,9595
8/26/2016,9511
8/19/2016,9659
8/12/2016,9762
8/5/2016,9769
7/29/2016,9752
7/22/2016,9797
7/15/2016,9785
7/8/2016,9671
7/1/2016,9755
6/24/2016,9709
6/17/2016,9815
6/10/2016,9762
6/3/2016,9568
5/27/2016,9716
5/20/2016,9516
5/13/2016,9755
5/6/2016,9658
4/29/2016,9502
4/22/2016,9315
4/15/2016,9444
4/8/2016,9633
4/1/2016,9224
3/25/2016,9244
3/18/2016,9503
3/11/2016,9458
3/4/2016,9411
2/26/2016,9121
2/19/2016,9576
2/12/2016,9203
2/5/2016,9122
1/29/2016,8341
1/22/2016,8941
1/15/2016,9079
1/8/2016,8500
1/1/2016,8159
12/25/2015,9395
12/18/2015,9185
12/11/2015,9220
12/4/2015,9420
11/27/2015,9281
11/20/2015,8921
11/13/2015,9054
11/6/2015,9388
10/30/2015,9184
10/23/2015,9343
10/16/2015,9157
10/9/2015,9137
10/2/2015,8958
9/25/2015,9021
9/18/2015,9215
9/11/2015,8983
9/4/2015,9017
8/28/2015,9438
8/21/2015,9189
8/14/2015,9705
8/7/2015,9686
7/31/2015,9687
7/24/2015,9339
7/17/2015,9749
7/10/2015,9404
7/3/2015,9532
6/26/2015,9731
6/19/2015,9655
6/12/2015,9176
6/5/2015,9600
5/29/2015,8978
5/22/2015,9734
5/15/2015,9261
5/8/2015,9201
5/1/2015,8785
4/24/2015,8920
4/17/2015,9185
4/10/2015,8914
4/3/2015,8610
3/27/2015,9435
3/20/2015,8619
3/13/2015,9260
3/6/2015,8515
2/27/2015,8630
2/20/2015,8915
2/13/2015,8809
2/6/2015,8282
1/30/2015,8442
1/23/2015,9022
1/16/2015,8851
1/9/2015,8875
1/2/2015,8809
12/26/2014,9614
12/19/2014,9518
12/12/2014,9373
12/5/2014,8549
11/28/2014,9425
11/21/2014,9254
11/14/2014,9194
11/7/2014,9005
10/31/2014,9162
10/24/2014,8867
10/17/2014,8836
10/10/2014,9043
10/3/2014,8645
9/26/2014,8660
9/19/2014,8781
9/12/2014,8707
9/5/2014,8611
8/29/2014,9480
8/22/2014,9100
8/15/2014,8775
8/8/2014,8922
8/1/2014,9359
7/25/2014,9006
7/18/2014,8792
7/11/2014,9057
7/4/2014,8935
6/27/2014,9168
6/20/2014,8813
6/13/2014,9258
6/6/2014,8624
5/30/2014,9104
5/23/2014,9310
5/16/2014,9174
5/9/2014,9191
5/2/2014,8719
4/25/2014,8693
4/18/2014,8430
4/11/2014,8616
4/4/2014,8996
3/28/2014,8713
3/21/2014,9002
3/14/2014,8512
3/7/2014,8949
2/28/2014,8411
2/21/2014,8535
2/14/2014,8030
2/7/2014,8325
1/31/2014,8452
1/24/2014,8584
1/17/2014,8059
1/10/2014,8021
1/3/2014,8274
12/27/2013,8893
12/20/2013,9176
12/13/2013,9016
12/6/2013,8348
11/29/2013,8873
11/22/2013,8909
11/15/2013,8924
11/8/2013,9032
11/1/2013,9292
10/25/2013,9054
10/18/2013,8797
10/11/2013,9077
10/4/2013,8846
9/27/2013,8527
9/20/2013,8846
9/13/2013,9028
9/6/2013,8605
8/30/2013,9094
8/23/2013,9031
8/16/2013,9200
8/9/2013,9190
8/2/2013,9246
7/26/2013,9147
7/19/2013,8982
7/12/2013,8729
7/5/2013,9299
6/28/2013,9294
6/21/2013,8894
6/14/2013,8840
6/7/2013,8648
5/31/2013,8822
5/24/2013,8956
5/17/2013,8790
5/10/2013,8341
5/3/2013,8445
4/26/2013,8415
4/19/2013,8750
4/12/2013,8383
4/5/2013,8477
3/29/2013,8523
3/22/2013,8399
3/15/2013,8324
3/8/2013,8627
3/1/2013,8364
2/22/2013,8597
2/15/2013,8437
2/8/2013,8404
2/1/2013,8415
1/25/2013,8501
1/18/2013,8431
1/11/2013,8320
1/4/2013,8010
12/28/2012,8518
12/21/2012,8608
12/14/2012,8618
12/7/2012,8488
11/30/2012,8354
11/23/2012,8427
11/16/2012,8898
11/9/2012,8908
11/2/2012,8307
10/26/2012,8844
10/19/2012,8493
10/12/2012,8729
10/5/2012,8587
9/28/2012,8633
9/21/2012,8770
9/14/2012,8632
9/7/2012,8695
8/31/2012,9177
8/24/2012,9064
8/17/2012,9081
8/10/2012,9308
8/3/2012,8839
7/27/2012,8820
7/20/2012,8660
7/13/2012,8628
7/6/2012,8917
6/29/2012,9001
6/22/2012,8846
6/15/2012,8693
6/8/2012,9130
6/1/2012,8648
5/25/2012,8931
5/18/2012,8633
5/11/2012,8971
5/4/2012,8864
4/27/2012,8692
4/20/2012,8496
4/13/2012,8775
4/6/2012,8681
3/30/2012,8783
3/23/2012,8710
3/16/2012,8379
3/9/2012,8415
3/2/2012,8262
2/24/2012,8363
2/17/2012,8628
2/10/2012,8167
2/3/2012,8039
1/27/2012,8018
1/20/2012,8098
1/13/2012,7996
1/6/2012,8179
12/30/2011,8556
12/23/2011,8923
12/16/2011,8879
12/9/2011,8666
12/2/2011,8574
11/25/2011,8769
11/18/2011,8592
11/11/2011,8625
11/4/2011,8671
10/28/2011,8518
10/21/2011,8501
10/14/2011,8598
10/7/2011,9010
9/30/2011,8959
9/23/2011,8964
9/16/2011,8858
9/9/2011,8848
9/2/2011,8956
8/26/2011,9229
8/19/2011,9009
8/12/2011,9195
8/5/2011,9244
7/29/2011,9215
7/22/2011,8999
7/15/2011,9028
7/8/2011,9016
7/1/2011,9309
6/24/2011,9261
6/17/2011,9319
6/10/2011,9370
6/3/2011,9163
5/27/2011,9431
5/20/2011,9025
5/13/2011,9048
5/6/2011,8826
4/29/2011,8943
4/22/2011,9148
4/15/2011,9062
4/8/2011,9181
4/1/2011,8853
3/25/2011,8866
3/18/2011,9074
3/11/2011,8830
3/4/2011,9192
2/25/2011,9162
2/18/2011,9101
2/11/2011,8810
2/4/2011,8524
1/28/2011,8549
1/21/2011,8632
1/14/2011,8775
1/7/2011,8819
12/31/2010,8853
