Weekly U.S. Product Supplied of Finished Motor Gasoline,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFUPUS2&f=W,
18:16:00 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
4/28/1995,7731
4/21/1995,8156
4/14/1995,7543
4/7/1995,7588
3/31/1995,8195
3/24/1995,7797
3/17/1995,7834
3/10/1995,7548
3/3/1995,7194
2/24/1995,7670
2/17/1995,7398
2/10/1995,7132
2/3/1995,7267
1/27/1995,6976
1/20/1995,7260
1/13/1995,7534
1/6/1995,7134
12/30/1994,7718
12/23/1994,8278
12/16/1994,7933
12/9/1994,8229
12/2/1994,7593
11/25/1994,7431
11/18/1994,7929
11/11/1994,7377
11/4/1994,7432
10/28/1994,8204
10/21/1994,8143
10/14/1994,7562
10/7/1994,7515
9/30/1994,7733
9/23/1994,7763
9/16/1994,7601
9/9/1994,6955
9/2/1994,8061
8/26/1994,7750
8/19/1994,7836
8/12/1994,8187
8/5/1994,7638
7/29/1994,7581
7/22/1994,7523
7/15/1994,8006
7/8/1994,7562
7/1/1994,7930
6/24/1994,7909
6/17/1994,7650
6/10/1994,7770
6/3/1994,7461
5/27/1994,8028
5/20/1994,7938
5/13/1994,7552
5/6/1994,6824
4/29/1994,7892
4/22/1994,7042
4/15/1994,7720
4/8/1994,7187
4/1/1994,7398
3/25/1994,7481
3/18/1994,7521
3/11/1994,7214
3/4/1994,7286
2/25/1994,7372
2/18/1994,6993
2/11/1994,7487
2/4/1994,6953
1/28/1994,6321
1/21/1994,7157
1/14/1994,7124
1/7/1994,7124
12/31/1993,7567
12/24/1993,7411
12/17/1993,7684
12/10/1993,8074
12/3/1993,7430
11/26/1993,6845
11/19/1993,7992
11/12/1993,7552
11/5/1993,7640
10/29/1993,7788
10/22/1993,7704
10/15/1993,7613
10/8/1993,7276
10/1/1993,7387
9/24/1993,7485
9/17/1993,7478
9/10/1993,7889
9/3/1993,7386
8/27/1993,7629
8/20/1993,8187
8/13/1993,7581
8/6/1993,8033
7/30/1993,7336
7/23/1993,7916
7/16/1993,8113
7/9/1993,7578
7/2/1993,7868
6/25/1993,7804
6/18/1993,7392
6/11/1993,7740
6/4/1993,7018
5/28/1993,7364
5/21/1993,7295
5/14/1993,7649
5/7/1993,7657
4/30/1993,7470
4/23/1993,7392
4/16/1993,7561
4/9/1993,6797
4/2/1993,6964
3/26/1993,7194
3/19/1993,7239
3/12/1993,7100
3/5/1993,7188
2/26/1993,6961
2/19/1993,7325
2/12/1993,6779
2/5/1993,7322
1/29/1993,6603
1/22/1993,7131
1/15/1993,6726
1/8/1993,6852
1/1/1993,7358
12/25/1992,7596
12/18/1992,7400
12/11/1992,7354
12/4/1992,7432
11/27/1992,7138
11/20/1992,7240
11/13/1992,7056
11/6/1992,6923
10/30/1992,7509
10/23/1992,7276
10/16/1992,7204
10/9/1992,7514
10/2/1992,7293
9/25/1992,7286
9/18/1992,7181
9/11/1992,7473
9/4/1992,7326
8/28/1992,7814
8/21/1992,7365
8/14/1992,7700
8/7/1992,7796
7/31/1992,7433
7/24/1992,7792
7/17/1992,7422
7/10/1992,7813
7/3/1992,7572
6/26/1992,7701
6/19/1992,7407
6/12/1992,7129
6/5/1992,7104
5/29/1992,7774
5/22/1992,7086
5/15/1992,7174
5/8/1992,7318
5/1/1992,7899
4/24/1992,7376
4/17/1992,6464
4/10/1992,7744
4/3/1992,7027
3/27/1992,7379
3/20/1992,7221
3/13/1992,6806
3/6/1992,7002
2/28/1992,6770
2/21/1992,7002
2/14/1992,6576
2/7/1992,7039
1/31/1992,7112
1/24/1992,7037
1/17/1992,6783
1/10/1992,6788
1/3/1992,6642
12/27/1991,7186
12/20/1991,7447
12/13/1991,7344
12/6/1991,6828
11/29/1991,6769
11/22/1991,6652
11/15/1991,7369
11/8/1991,7379
11/1/1991,7159
10/25/1991,7421
10/18/1991,7396
10/11/1991,7506
10/4/1991,6949
9/27/1991,7088
9/20/1991,7391
9/13/1991,7402
9/6/1991,6993
8/30/1991,7427
8/23/1991,7505
8/16/1991,7401
8/9/1991,7584
8/2/1991,7605
7/26/1991,7501
7/19/1991,7380
7/12/1991,7327
7/5/1991,7961
6/28/1991,7543
6/21/1991,7720
6/14/1991,7651
6/7/1991,7220
5/31/1991,7287
5/24/1991,7396
5/17/1991,6899
5/10/1991,7185
5/3/1991,6976
4/26/1991,6956
4/19/1991,7045
4/12/1991,6916
4/5/1991,7503
3/29/1991,6777
3/22/1991,7328
3/15/1991,6947
3/8/1991,6875
3/1/1991,7224
2/22/1991,6582
2/15/1991,6433
2/8/1991,6621
