Weekly U.S. Ending Stocks excluding SPR of Crude Oil,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCESTUS1&f=W,
18:56:31 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Ending Stocks excluding SPR of Crude Oil Thousand Barrels
10/3/2014,330380
9/26/2014,325465
9/19/2014,326828
9/12/2014,331101
9/5/2014,327428
8/29/2014,328119
8/22/2014,329024
8/15/2014,331094
8/8/2014,335568
8/1/2014,334167
7/25/2014,335631
7/18/2014,339328
7/11/2014,343297
7/4/2014,350822
6/27/2014,353229
6/20/2014,356384
6/13/2014,354642
6/6/2014,355221
5/30/2014,357951
5/23/2014,361382
5/16/2014,359725
5/9/2014,366951
5/2/2014,366004
4/25/2014,367576
4/18/2014,365878
4/11/2014,362354
4/4/2014,352341
3/28/2014,348423
3/21/2014,350802
3/14/2014,344183
3/7/2014,338333
2/28/2014,332453
2/21/2014,331024
2/14/2014,330956
2/7/2014,329983
1/31/2014,326930
1/24/2014,326490
1/17/2014,320069
1/10/2014,319079
1/3/2014,326737
12/27/2013,330695
12/20/2013,337702
12/13/2013,342433
12/6/2013,345374
11/29/2013,356378
11/22/2013,361963
11/15/2013,359010
11/8/2013,358635
11/1/2013,355995
10/25/2013,354806
10/18/2013,350719
10/11/2013,345473
10/4/2013,341474
9/27/2013,334730
9/20/2013,329258
9/13/2013,326623
9/6/2013,330991
8/30/2013,331609
8/23/2013,333445
8/16/2013,330459
8/9/2013,331887
8/2/2013,334699
7/26/2013,336130
7/19/2013,335699
7/12/2013,338524
7/5/2013,345426
6/28/2013,355163
6/21/2013,365510
6/14/2013,365492
6/7/2013,365179
5/31/2013,362550
5/24/2013,368817
5/17/2013,365817
5/10/2013,366155
5/3/2013,366779
4/26/2013,366408
4/19/2013,359712
4/12/2013,358765
4/5/2013,359998
3/29/2013,360116
3/22/2013,357409
3/15/2013,354153
3/8/2013,355467
3/1/2013,352843
2/22/2013,349107
2/15/2013,347977
2/8/2013,343834
2/1/2013,343274
1/25/2013,340940
1/18/2013,334993
1/11/2013,332180
1/4/2013,333131
12/28/2012,332239
12/21/2012,343359
12/14/2012,343945
12/7/2012,344909
11/30/2012,344769
11/23/2012,347126
11/16/2012,347473
11/9/2012,348939
11/2/2012,347850
10/26/2012,346303
10/19/2012,348348
10/12/2012,342452
10/5/2012,339592
9/28/2012,338080
9/21/2012,338562
9/14/2012,341008
9/7/2012,332474
8/31/2012,331065
8/24/2012,338491
8/17/2012,334713
8/10/2012,340125
8/3/2012,343824
7/27/2012,347599
7/20/2012,354121
7/13/2012,351404
7/6/2012,352213
6/29/2012,357068
6/22/2012,361338
6/15/2012,361471
6/8/2012,358610
6/1/2012,358801
5/25/2012,360564
5/18/2012,358351
5/11/2012,357468
5/4/2012,355340
4/27/2012,350051
4/20/2012,347211
4/13/2012,343233
4/6/2012,339377
3/30/2012,336811
3/23/2012,327802
3/16/2012,320700
3/9/2012,321862
3/2/2012,320112
2/24/2012,319264
2/17/2012,315104
2/10/2012,313471
2/3/2012,313642
1/27/2012,313351
1/20/2012,309176
1/13/2012,305618
1/6/2012,309056
12/30/2011,307231
12/23/2011,305022
12/16/2011,301123
12/9/2011,311693
12/2/2011,313625
11/25/2011,312476
11/18/2011,308544
11/11/2011,314763
11/4/2011,315819
10/28/2011,317407
10/21/2011,315581
10/14/2011,310846
10/7/2011,315575
9/30/2011,314342
9/23/2011,319021
9/16/2011,317106
9/9/2011,324442
9/2/2011,331146
8/26/2011,335107
8/19/2011,329826
8/12/2011,332039
8/5/2011,327806
7/29/2011,332927
7/22/2011,331977
7/15/2011,329681
7/8/2011,333408
7/1/2011,336532
6/24/2011,337405
6/17/2011,341780
6/10/2011,343491
6/3/2011,346897
5/27/2011,351529
5/20/2011,348651
5/13/2011,348035
5/6/2011,348050
4/29/2011,344418
4/22/2011,340997
4/15/2011,334841
4/8/2011,337163
4/1/2011,335536
3/25/2011,333920
3/18/2011,330975
3/11/2011,328844
3/4/2011,327099
2/25/2011,324722
2/18/2011,325086
2/11/2011,324264
2/4/2011,323404
1/28/2011,321573
1/21/2011,318979
1/14/2011,314143
1/7/2011,311526
12/31/2010,313918
12/24/2010,318079
12/17/2010,319337
12/10/2010,324670
12/3/2010,334524
11/26/2010,338658
11/19/2010,337592
11/12/2010,336563
11/5/2010,343849
10/29/2010,347394
10/22/2010,345444
10/15/2010,340437
10/8/2010,339770
10/1/2010,340186
9/24/2010,337343
9/17/2010,337818
9/10/2010,336848
9/3/2010,339337
8/27/2010,341105
8/20/2010,337680
8/13/2010,333572
8/6/2010,334390
7/30/2010,337388
7/23/2010,340172
7/16/2010,332864
7/9/2010,332504
7/2/2010,337562
6/25/2010,342606
6/18/2010,344613
6/11/2010,342596
6/4/2010,340906
5/28/2010,342581
5/21/2010,344483
5/14/2010,342023
5/7/2010,341861
4/30/2010,339942
4/23/2010,337187
4/16/2010,335224
4/9/2010,333330
4/2/2010,335532
3/26/2010,333386
3/19/2010,330457
3/12/2010,323212
3/5/2010,322200
2/26/2010,320730
2/19/2010,316696
2/12/2010,313662
2/5/2010,310577
1/29/2010,308283
1/22/2010,305966
1/15/2010,309854
1/8/2010,310325
1/1/2010,306626
12/25/2009,307969
12/18/2009,309507
12/11/2009,314348
12/4/2009,318037
11/27/2009,321832
11/20/2009,319741
11/13/2009,318722
11/6/2009,319609
10/30/2009,317821
10/23/2009,321757
10/16/2009,320979
10/9/2009,319667
10/2/2009,319333
9/25/2009,320467
9/18/2009,317671
9/11/2009,314816
9/4/2009,319545
8/28/2009,325351
8/21/2009,325723
8/14/2009,325595
8/7/2009,333992
7/31/2009,331296
7/24/2009,329626
7/17/2009,324474
7/10/2009,326270
7/3/2009,329083
6/26/2009,331784
6/19/2009,335444
6/12/2009,339312
6/5/2009,343186
5/29/2009,347582
5/22/2009,344716
5/15/2009,350129
5/8/2009,352234
5/1/2009,356863
4/24/2009,355909
4/17/2009,351856
4/10/2009,347999
4/3/2009,342328
3/27/2009,340912
3/20/2009,338068
3/13/2009,334766
3/6/2009,332824
2/27/2009,332309
2/20/2009,333066
2/13/2009,332349
2/6/2009,332487
1/30/2009,327868
1/23/2009,320698
1/16/2009,314480
1/9/2009,308380
1/2/2009,307236
12/26/2008,301142
12/19/2008,300593
12/12/2008,303694
12/5/2008,303169
11/28/2008,302817
11/21/2008,303273
11/14/2008,295993
11/7/2008,294394
10/31/2008,294444
10/24/2008,294390
10/17/2008,293897
10/10/2008,290715
10/3/2008,285104
9/26/2008,276912
9/19/2008,272634
9/12/2008,274154
9/5/2008,280482
8/29/2008,286362
8/22/2008,288260
8/15/2008,288437
8/8/2008,279047
8/1/2008,279363
7/25/2008,277865
7/18/2008,277946
7/11/2008,279504
7/4/2008,276552
6/27/2008,282258
6/20/2008,284240
6/13/2008,283437
6/6/2008,284679
5/30/2008,289256
5/23/2008,294058
5/16/2008,302941
5/9/2008,308258
5/2/2008,308082
4/25/2008,302429
4/18/2008,298581
4/11/2008,296160
4/4/2008,298516
3/28/2008,301723
3/21/2008,294406
3/14/2008,294318
3/7/2008,294185
2/29/2008,287785
2/22/2008,290841
2/15/2008,287610
2/8/2008,283406
2/1/2008,282340
1/25/2008,275472
1/18/2008,271917
1/11/2008,269620
1/4/2008,265361
12/28/2007,271865
12/21/2007,275921
12/14/2007,279220
12/7/2007,286806
11/30/2007,287895
11/23/2007,295808
11/16/2007,296260
11/9/2007,297331
11/2/2007,294517
10/26/2007,295477
10/19/2007,299371
10/12/2007,304659
10/5/2007,302875
9/28/2007,304684
9/21/2007,303546
9/14/2007,301704
9/7/2007,305578
8/31/2007,312591
8/24/2007,316563
8/17/2007,320049
8/10/2007,318159
8/3/2007,323326
7/27/2007,327287
7/20/2007,333784
7/13/2007,334887
7/6/2007,335336
6/29/2007,336924
6/22/2007,333773
6/15/2007,332211
6/8/2007,325309
6/1/2007,325227
5/25/2007,325014
5/18/2007,326970
5/11/2007,325001
5/4/2007,323940
4/27/2007,318468
4/20/2007,317299
4/13/2007,315225
4/6/2007,316219
3/30/2007,315387
3/23/2007,311080
3/16/2007,311926
3/9/2007,308002
3/2/2007,306822
2/23/2007,311719
2/16/2007,310298
2/9/2007,306604
2/2/2007,307193
1/26/2007,307711
1/19/2007,305027
1/12/2007,304238
1/5/2007,297470
12/29/2006,303219
12/22/2006,304518
12/15/2006,312650
12/8/2006,318973
12/1/2006,323268
11/24/2006,324458
11/17/2006,324818
11/10/2006,319657
11/3/2006,318374
10/27/2006,317857
10/20/2006,315947
10/13/2006,319152
10/6/2006,314132
9/29/2006,312001
9/22/2006,308646
9/15/2006,308755
9/8/2006,311603
9/1/2006,314507
8/25/2006,316611
8/18/2006,314130
8/11/2006,314773
8/4/2006,316380
7/28/2006,317566
7/21/2006,319340
7/14/2006,319310
7/7/2006,319159
6/30/2006,325089
6/23/2006,327510
6/16/2006,330839
6/9/2006,329454
6/2/2006,330434
5/26/2006,329151
5/19/2006,327552
5/12/2006,330550
5/5/2006,330615
4/28/2006,330289
4/21/2006,328562
4/14/2006,328788
4/7/2006,329594
3/31/2006,326442
3/24/2006,324332
3/17/2006,322302
3/10/2006,323612
3/3/2006,318776
2/24/2006,312135
2/17/2006,310497
2/10/2006,309376
2/3/2006,304523
1/27/2006,304935
1/20/2006,303016
1/13/2006,305325
1/6/2006,302584
12/30/2005,305527
12/23/2005,306540
12/16/2005,306422
12/9/2005,305122
12/2/2005,304230
11/25/2005,301443
11/18/2005,305631
11/11/2005,305277
11/4/2005,307436
10/28/2005,303027
10/21/2005,300293
10/14/2005,295879
10/7/2005,290324
9/30/2005,289398
9/23/2005,289644
9/16/2005,292056
9/9/2005,292378
9/2/2005,298938
8/26/2005,305363
8/19/2005,306883
8/12/2005,305031
8/5/2005,304790
7/29/2005,302036
7/22/2005,301840
7/15/2005,304085
7/8/2005,304985
7/1/2005,308884
6/24/2005,312453
6/17/2005,311349
6/10/2005,312928
6/3/2005,314711
5/27/2005,317706
5/20/2005,316218
5/13/2005,317905
5/6/2005,313562
4/29/2005,311127
4/22/2005,308447
4/15/2005,303032
4/8/2005,304805
4/1/2005,301151
3/25/2005,298349
3/18/2005,292966
3/11/2005,288869
3/4/2005,286276
2/25/2005,283301
2/18/2005,280906
2/11/2005,280298
2/4/2005,278156
1/28/2005,279566
1/21/2005,279890
1/14/2005,276461
1/7/2005,273060
12/31/2004,275442
12/24/2004,278661
12/17/2004,279520
12/10/2004,277396
12/3/2004,277522
11/26/2004,276981
11/19/2004,276132
11/12/2004,276047
11/5/2004,275232
10/29/2004,273529
10/22/2004,267257
10/15/2004,263313
10/8/2004,262115
10/1/2004,257912
9/24/2004,257031
9/17/2004,253630
9/10/2004,262742
9/3/2004,269754
8/27/2004,271284
8/20/2004,275516
8/13/2004,277216
8/6/2004,278427
7/30/2004,282564
7/23/2004,284379
7/16/2004,283207
7/9/2004,286780
7/2/2004,288952
6/25/2004,288862
6/18/2004,289366
6/11/2004,286951
6/4/2004,286099
5/28/2004,285384
5/21/2004,282605
5/14/2004,282580
5/7/2004,283676
4/30/2004,282748
4/23/2004,282653
4/16/2004,279474
4/9/2004,279266
4/2/2004,276118
3/26/2004,277539
3/19/2004,271841
3/12/2004,264309
3/5/2004,262729
2/27/2004,259092
2/20/2004,257092
2/13/2004,257092
2/6/2004,252192
1/30/2004,255245
1/23/2004,247323
1/16/2004,248839
1/9/2004,247627
1/2/2004,252611
12/26/2003,254466
12/19/2003,258243
12/12/2003,256598
12/5/2003,261722
11/28/2003,267167
11/21/2003,271996
11/14/2003,276885
11/7/2003,273975
10/31/2003,274914
10/24/2003,274865
10/17/2003,271225
10/10/2003,273020
10/3/2003,269223
9/26/2003,264376
9/19/2003,264423
9/12/2003,262933
9/5/2003,259784
8/29/2003,264253
8/22/2003,262492
8/15/2003,262676
8/8/2003,264262
8/1/2003,264082
7/25/2003,260944
7/18/2003,259850
7/11/2003,262189
7/4/2003,265819
6/27/2003,265963
6/20/2003,268079
6/13/2003,272224
6/6/2003,268240
5/30/2003,272931
5/23/2003,270067
5/16/2003,269040
5/9/2003,268376
5/2/2003,271099
4/25/2003,271549
4/18/2003,269727
4/11/2003,260756
4/4/2003,260624
3/28/2003,264122
3/21/2003,257389
3/14/2003,253684
3/7/2003,253212
2/28/2003,257500
2/21/2003,255803
2/14/2003,256837
2/7/2003,253779
1/31/2003,258100
1/24/2003,257156
1/17/2003,257664
1/10/2003,256079
1/3/2003,262508
12/27/2002,262089
12/20/2002,271215
12/13/2002,270500
12/6/2002,272561
11/29/2002,271138
11/22/2002,268062
11/15/2002,271961
11/8/2002,267506
11/1/2002,274396
10/25/2002,270914
10/18/2002,270000
10/11/2002,263223
10/4/2002,254248
9/27/2002,258896
9/20/2002,268878
9/13/2002,271470
9/6/2002,276874
8/30/2002,281926
8/23/2002,286554
8/16/2002,286290
8/9/2002,283437
8/2/2002,290642
7/26/2002,292722
7/19/2002,294699
7/12/2002,298381
7/5/2002,300361
6/28/2002,304766
6/21/2002,303193
6/14/2002,306632
6/7/2002,307115
5/31/2002,308297
5/24/2002,302265
5/17/2002,303801
5/10/2002,299171
5/3/2002,303358
4/26/2002,309034
4/19/2002,304462
4/12/2002,302876
4/5/2002,308541
3/29/2002,308278
3/22/2002,302253
3/15/2002,306697
3/8/2002,304089
3/1/2002,303756
2/22/2002,299422
2/15/2002,301890
2/8/2002,304998
2/1/2002,302497
1/25/2002,300289
1/18/2002,298183
1/11/2002,295434
1/4/2002,294406
12/28/2001,293607
12/21/2001,295777
12/14/2001,293164
12/7/2001,292803
11/30/2001,295140
11/23/2001,290885
11/16/2001,294065
11/9/2001,295285
11/2/2001,295552
10/26/2001,291538
10/19/2001,289082
10/12/2001,286259
10/5/2001,290699
9/28/2001,290827
9/21/2001,289215
9/14/2001,286029
9/7/2001,286655
8/31/2001,285694
8/24/2001,287648
8/17/2001,284951
8/10/2001,288954
8/3/2001,291804
7/27/2001,298463
7/20/2001,299513
7/13/2001,298133
7/6/2001,291112
6/29/2001,294220
6/22/2001,298973
6/15/2001,298981
6/8/2001,299709
6/1/2001,307913
5/25/2001,306411
5/18/2001,308153
5/11/2001,304811
5/4/2001,302335
4/27/2001,301717
4/20/2001,295392
4/13/2001,296817
4/6/2001,290606
3/30/2001,286795
3/23/2001,285110
3/16/2001,273922
3/9/2001,268920
3/2/2001,260949
2/23/2001,263661
2/16/2001,260782
2/9/2001,272662
2/2/2001,269298
1/26/2001,266382
1/19/2001,269952
1/12/2001,271062
1/5/2001,272072
12/29/2000,272771
12/22/2000,274608
12/15/2000,275859
12/8/2000,272826
12/1/2000,276195
11/24/2000,274177
11/17/2000,274255
11/10/2000,268091
11/3/2000,266594
10/27/2000,268151
10/20/2000,269640
10/13/2000,267235
10/6/2000,271752
9/29/2000,270873
9/22/2000,269781
9/15/2000,270282
9/8/2000,272764
9/1/2000,273691
8/25/2000,270948
8/18/2000,268901
8/11/2000,273059
8/4/2000,269659
7/28/2000,268121
7/21/2000,278674
7/14/2000,278400
7/7/2000,278885
6/30/2000,277611
6/23/2000,279405
6/16/2000,279078
6/9/2000,283639
6/2/2000,285075
5/26/2000,289205
5/19/2000,293806
5/12/2000,292857
5/5/2000,292607
4/28/2000,288071
4/21/2000,291335
4/14/2000,286265
4/7/2000,280771
3/31/2000,277924
3/24/2000,276422
3/17/2000,276572
3/10/2000,274933
3/3/2000,274502
2/25/2000,269816
2/18/2000,269487
2/11/2000,269796
2/4/2000,269982
1/28/2000,266614
1/21/2000,275032
1/14/2000,277464
1/7/2000,277549
12/31/1999,274626
12/24/1999,276345
12/17/1999,276646
12/10/1999,277477
12/3/1999,283063
11/26/1999,283338
11/19/1999,287692
11/12/1999,290755
11/5/1999,288955
10/29/1999,288599
10/22/1999,284878
10/15/1999,284609
10/8/1999,281186
10/1/1999,288395
9/24/1999,288862
9/17/1999,293119
9/10/1999,292930
9/3/1999,297212
8/27/1999,301653
8/20/1999,301091
8/13/1999,305616
8/6/1999,307249
7/30/1999,309516
7/23/1999,312916
7/16/1999,318092
7/9/1999,317718
7/2/1999,314030
6/25/1999,314225
6/18/1999,315949
6/11/1999,318672
6/4/1999,316858
5/28/1999,314722
5/21/1999,315769
5/14/1999,318092
5/7/1999,317539
4/30/1999,320145
4/23/1999,322286
4/16/1999,325729
4/9/1999,328885
4/2/1999,326768
3/26/1999,328539
3/19/1999,324736
3/12/1999,321929
3/5/1999,318266
2/26/1999,315274
2/19/1999,318431
2/12/1999,315393
2/5/1999,317131
1/29/1999,316730
1/22/1999,314148
1/15/1999,310975
1/8/1999,308268
1/1/1999,305728
12/25/1998,320706
12/18/1998,323364
12/11/1998,321884
12/4/1998,318465
11/27/1998,319986
11/20/1998,325554
11/13/1998,320397
11/6/1998,322932
10/30/1998,323739
10/23/1998,319964
10/16/1998,316227
10/9/1998,312682
10/2/1998,305893
9/25/1998,303433
9/18/1998,300336
9/11/1998,309675
9/4/1998,312057
8/28/1998,320694
8/21/1998,321012
8/14/1998,327887
8/7/1998,328423
7/31/1998,327478
7/24/1998,326795
7/17/1998,322966
7/10/1998,317425
7/3/1998,324057
6/26/1998,326843
6/19/1998,325182
6/12/1998,326836
6/5/1998,329534
5/29/1998,330394
5/22/1998,334682
5/15/1998,337928
5/8/1998,326705
5/1/1998,327368
4/24/1998,325209
4/17/1998,324906
4/10/1998,319899
4/3/1998,314569
3/27/1998,313200
3/20/1998,311606
3/13/1998,305137
3/6/1998,307194
2/27/1998,307969
2/20/1998,309568
2/13/1998,306685
2/6/1998,304983
1/30/1998,304961
1/23/1998,305583
1/16/1998,299897
1/9/1998,288685
1/2/1998,289764
12/26/1997,296230
12/19/1997,299482
12/12/1997,303451
12/5/1997,300911
11/28/1997,305669
11/21/1997,302849
11/14/1997,299075
11/7/1997,293789
10/31/1997,295098
10/24/1997,289079
10/17/1997,284474
10/10/1997,287772
10/3/1997,289944
9/26/1997,285157
9/19/1997,283839
9/12/1997,287722
9/5/1997,283928
8/29/1997,290026
8/22/1997,291628
8/15/1997,296882
8/8/1997,296258
8/1/1997,291120
7/25/1997,291884
7/18/1997,301774
7/11/1997,303759
7/4/1997,306218
6/27/1997,301399
6/20/1997,307126
6/13/1997,307589
6/6/1997,308845
5/30/1997,309261
5/23/1997,305059
5/16/1997,301845
5/9/1997,307280
5/2/1997,300885
4/25/1997,300941
4/18/1997,298115
4/11/1997,296665
4/4/1997,294041
3/28/1997,293843
3/21/1997,287497
3/14/1997,288585
3/7/1997,288475
2/28/1997,283145
2/21/1997,288568
2/14/1997,288732
2/7/1997,284247
1/31/1997,280898
1/24/1997,274863
1/17/1997,271491
1/10/1997,272956
1/3/1997,267904
12/27/1996,276127
12/20/1996,273685
12/13/1996,279788
12/6/1996,282735
11/29/1996,283728
11/22/1996,283501
11/15/1996,288297
11/8/1996,290762
11/1/1996,295892
10/25/1996,285642
10/18/1996,288701
10/11/1996,282960
10/4/1996,286261
9/27/1996,286638
9/20/1996,291751
9/13/1996,290575
9/6/1996,292562
8/30/1996,295650
8/23/1996,300715
8/16/1996,291014
8/9/1996,289134
8/2/1996,290295
7/26/1996,292972
7/19/1996,291857
7/12/1996,295695
7/5/1996,298222
6/28/1996,296562
6/21/1996,289709
6/14/1996,288853
6/7/1996,291863
5/31/1996,293515
5/24/1996,281578
5/17/1996,280450
5/10/1996,284902
5/3/1996,286604
4/26/1996,279424
4/19/1996,279794
4/12/1996,283823
4/5/1996,282424
3/29/1996,280124
3/22/1996,282187
3/15/1996,283404
3/8/1996,288673
3/1/1996,280448
2/23/1996,283723
2/16/1996,283380
2/9/1996,286440
2/2/1996,288674
1/26/1996,291084
1/19/1996,292829
1/12/1996,288551
1/5/1996,285623
12/29/1995,284591
12/22/1995,294817
12/15/1995,300674
12/8/1995,294812
12/1/1995,299072
11/24/1995,302184
11/17/1995,296105
11/10/1995,286496
11/3/1995,288122
10/27/1995,284831
10/20/1995,283307
10/13/1995,281131
10/6/1995,281156
9/29/1995,285540
9/22/1995,290595
9/15/1995,291145
9/8/1995,292052
9/1/1995,296654
8/25/1995,289233
8/18/1995,286280
8/11/1995,293670
8/4/1995,291165
7/28/1995,298034
7/21/1995,295085
7/14/1995,301968
7/7/1995,301985
6/30/1995,303160
6/23/1995,299434
6/16/1995,306901
6/9/1995,307390
6/2/1995,307943
5/26/1995,310099
5/19/1995,313118
5/12/1995,317267
5/5/1995,316444
4/28/1995,318365
4/21/1995,322472
4/14/1995,319450
4/7/1995,318266
3/31/1995,321069
3/24/1995,313308
3/17/1995,309258
3/10/1995,308719
3/3/1995,308234
2/24/1995,305268
2/17/1995,310839
2/10/1995,303476
2/3/1995,309810
1/27/1995,306583
1/20/1995,306864
1/13/1995,313278
1/6/1995,314560
12/30/1994,312846
12/23/1994,320236
12/16/1994,319550
12/9/1994,320205
12/2/1994,321693
11/25/1994,321739
11/18/1994,324211
11/11/1994,327189
11/4/1994,327917
10/28/1994,328905
10/21/1994,319570
10/14/1994,321399
10/7/1994,316959
9/30/1994,317891
9/23/1994,314620
9/16/1994,308725
