West Texas Intermediate Crude Oil Spot Price,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=8&f=M&s=&start=199701&end=202112&linechart=WTIPUUS&ctype=linechart&maptype=0&id=,
16:06:30 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Month,West Texas Intermediate Crude Oil Spot Price dollars per barrel
Nov-02,26.35
Oct-02,28.84
Sep-02,29.66
Aug-02,28.39
Jul-02,26.97
Jun-02,25.52
May-02,27.04
Apr-02,26.18
Mar-02,24.53
Feb-02,20.72
Jan-02,19.71
Dec-01,19.39
Nov-01,19.64
Oct-01,22.17
Sep-01,26.2
Aug-01,27.37
Jul-01,26.43
Jun-01,27.6
May-01,28.63
Apr-01,27.49
Mar-01,27.25
Feb-01,29.61
Jan-01,29.59
Dec-00,28.44
Nov-00,34.42
Oct-00,33.11
Sep-00,33.88
Aug-00,31.26
Jul-00,29.7
Jun-00,31.82
May-00,28.79
Apr-00,25.72
Mar-00,29.84
Feb-00,29.37
Jan-00,27.26
Dec-99,26.1
Nov-99,25
Oct-99,22.69
Sep-99,23.8
Aug-99,21.28
Jul-99,20.1
Jun-99,17.92
May-99,17.72
Apr-99,17.31
Mar-99,14.68
Feb-99,12.01
Jan-99,12.52
Dec-98,11.35
Nov-98,13
Oct-98,14.46
Sep-98,15.03
Aug-98,13.47
Jul-98,14.17
Jun-98,13.72
May-98,14.91
Apr-98,15.35
Mar-98,15.12
Feb-98,16.06
Jan-98,16.72
Dec-97,18.33
Nov-97,20.19
Oct-97,21.32
Sep-97,19.8
Aug-97,19.95
Jul-97,19.66
Jun-97,19.26
May-97,20.82
Apr-97,19.7
Mar-97,20.96
Feb-97,22.18
Jan-97,25.13
Dec-96,25.23
