"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Anadarko,,,,Appalachia,,,, Bakken,,,,  Eagle Ford,,,,Haynesville,,,,Niobrara,,,,Permian,,,,DPR Regions,,
 ,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC
Dec-13,--,--, 375 ,,--,--," 1,238 ",,--,--, 570 ,,--,--, 993 ,,--,--, 131 ,,--,--, 456 ,,--,--, 660 ,,--,--," 4,423 "
Jan-14, 222 , 215 , 382 ,, 140 , 108 ," 1,270 ",, 178 , 143 , 605 ,, 333 , 334 , 992 ,, 29 , 35 , 125 ,, 163 , 144 , 475 ,, 581 , 590 , 651 ,," 1,646 "," 1,569 "," 4,500 "
Feb-14, 195 , 197 , 380 ,, 165 , 128 ," 1,307 ",, 210 , 158 , 657 ,, 379 , 316 ," 1,055 ",, 48 , 36 , 137 ,, 172 , 126 , 521 ,, 582 , 519 , 714 ,," 1,751 "," 1,480 "," 4,771 "
Mar-14, 202 , 238 , 344 ,, 121 , 178 ," 1,250 ",, 224 , 218 , 663 ,, 338 , 384 ," 1,009 ",, 44 , 46 , 135 ,, 170 , 186 , 505 ,, 609 , 624 , 699 ,," 1,708 "," 1,874 "," 4,605 "
Apr-14, 229 , 235 , 338 ,, 197 , 169 ," 1,278 ",, 217 , 207 , 673 ,, 401 , 335 ," 1,075 ",, 44 , 54 , 125 ,, 194 , 194 , 505 ,, 657 , 632 , 724 ,," 1,939 "," 1,826 "," 4,718 "
May-14, 208 , 232 , 314 ,, 186 , 207 ," 1,257 ",, 226 , 208 , 691 ,, 365 , 347 ," 1,093 ",, 33 , 39 , 119 ,, 206 , 175 , 536 ,, 653 , 628 , 749 ,," 1,877 "," 1,836 "," 4,759 "
Jun-14, 225 , 213 , 326 ,, 189 , 201 ," 1,245 ",, 236 , 225 , 702 ,, 365 , 351 ," 1,107 ",, 34 , 39 , 114 ,, 193 , 186 , 543 ,, 668 , 616 , 801 ,," 1,910 "," 1,831 "," 4,838 "
Jul-14, 223 , 214 , 335 ,, 166 , 172 ," 1,239 ",, 250 , 243 , 709 ,, 368 , 332 ," 1,143 ",, 35 , 50 , 99 ,, 203 , 186 , 560 ,, 613 , 601 , 813 ,," 1,858 "," 1,798 "," 4,898 "
Aug-14, 228 , 239 , 324 ,, 183 , 192 ," 1,230 ",, 226 , 207 , 728 ,, 361 , 365 ," 1,139 ",, 35 , 33 , 101 ,, 206 , 184 , 582 ,, 658 , 580 , 891 ,," 1,897 "," 1,800 "," 4,995 "
Sep-14, 240 , 238 , 326 ,, 192 , 217 ," 1,205 ",, 256 , 232 , 752 ,, 389 , 337 ," 1,191 ",, 35 , 37 , 99 ,, 212 , 208 , 586 ,, 677 , 600 , 968 ,," 2,001 "," 1,869 "," 5,127 "
Oct-14, 253 , 232 , 347 ,, 181 , 193 ," 1,193 ",, 186 , 243 , 695 ,, 380 , 416 ," 1,155 ",, 55 , 32 , 122 ,, 192 , 179 , 599 ,, 689 , 669 , 988 ,," 1,936 "," 1,964 "," 5,099 "
Nov-14, 223 , 195 , 375 ,, 139 , 174 ," 1,158 ",, 209 , 202 , 702 ,, 293 , 401 ," 1,047 ",, 37 , 36 , 123 ,, 160 , 166 , 593 ,, 568 , 575 , 981 ,," 1,629 "," 1,749 "," 4,979 "
Dec-14, 249 , 223 , 401 ,, 179 , 179 ," 1,158 ",, 224 , 194 , 732 ,, 330 , 386 , 991 ,, 49 , 38 , 134 ,, 207 , 189 , 611 ,, 632 , 577 ," 1,036 ",," 1,870 "," 1,786 "," 5,063 "
Jan-15, 221 , 195 , 427 ,, 195 , 173 ," 1,180 ",, 197 , 193 , 736 ,, 398 , 352 ," 1,037 ",, 35 , 48 , 121 ,, 189 , 164 , 636 ,, 573 , 476 ," 1,133 ",," 1,808 "," 1,601 "," 5,270 "
Feb-15, 208 , 151 , 484 ,, 181 , 115 ," 1,246 ",, 230 , 151 , 815 ,, 471 , 261 ," 1,247 ",, 45 , 39 , 127 ,, 198 , 114 , 720 ,, 499 , 398 ," 1,234 ",," 1,832 "," 1,229 "," 5,873 "
Mar-15, 167 , 147 , 504 ,, 177 , 146 ," 1,277 ",, 182 , 170 , 827 ,, 347 , 284 ," 1,310 ",, 45 , 35 , 137 ,, 154 , 168 , 706 ,, 393 , 442 ," 1,185 ",," 1,465 "," 1,392 "," 5,946 "
Apr-15, 133 , 114 , 523 ,, 160 , 167 ," 1,270 ",, 142 , 127 , 842 ,, 253 , 236 ," 1,327 ",, 26 , 34 , 129 ,, 137 , 143 , 700 ,, 338 , 323 ," 1,200 ",," 1,189 "," 1,144 "," 5,991 "
