,Date,Chinese Gas Imports
265,1995-02-01,5557
266,1995-03-01,5573
267,1995-04-01,3741
268,1995-05-01,3698
269,1995-06-01,5556
270,1995-07-01,5581
271,1995-08-01,7531
272,1995-09-01,5656
273,1995-10-01,3733
274,1995-11-01,7518
275,1995-12-01,5599
276,1996-01-01,5534
277,1996-02-01,5621
278,1996-03-01,5642
279,1996-04-01,5654
280,1996-05-01,3750
281,1996-06-01,5651
282,1996-07-01,7546
283,1996-08-01,5663
284,1996-09-01,5663
285,1996-10-01,5589
286,1996-11-01,5670
287,1996-12-01,5665
288,1997-01-01,5604
289,1997-02-01,5596
290,1997-03-01,5675
291,1997-04-01,5660
292,1997-05-01,3812
293,1997-06-01,3786
294,1997-07-01,3756
295,1997-08-01,7532
296,1997-09-01,3767
297,1997-10-01,5676
298,1997-11-01,5691
299,1997-12-01,5631
300,1998-01-01,7446
301,1998-02-01,3726
302,1998-03-01,7435
303,1998-04-01,5702
304,1998-05-01,1891
305,1998-06-01,5695
306,1998-07-01,5679
307,1998-08-01,5676
308,1998-09-01,7584
309,1998-10-01,5679
310,1998-11-01,3776
311,1998-12-01,5662
312,1999-01-01,5586
313,1999-02-01,5564
314,1999-03-01,5570
315,1999-04-01,5687
316,1999-05-01,5644
317,1999-06-01,3754
318,1999-07-01,5675
319,1999-08-01,5643
320,1999-09-01,5605
321,1999-10-01,3723
322,1999-11-01,5579
323,1999-12-01,5577
324,2000-01-01,5569
325,2000-02-01,5566
326,2000-03-01,3769
327,2000-04-01,5670
328,2000-05-01,5709
329,2000-06-01,3763
330,2000-07-01,5597
331,2000-08-01,5598
332,2000-09-01,5592
333,2000-10-01,7512
334,2000-11-01,5686
335,2000-12-01,5579
336,2001-01-01,5571
337,2001-02-01,3714
338,2001-03-01,5569
339,2001-04-01,5594
340,2001-05-01,5677
341,2001-06-01,3780
342,2001-07-01,5665
343,2001-08-01,5684
344,2001-09-01,5676
345,2001-10-01,7576
346,2001-11-01,5644
347,2001-12-01,5602
348,2002-01-01,5605
349,2002-02-01,3755
350,2002-03-01,5619
351,2002-04-01,7427
352,2002-05-01,1853
353,2002-06-01,5586
354,2002-07-01,5588
355,2002-08-01,5583
356,2002-09-01,5583
357,2002-10-01,5571
358,2002-11-01,5609
359,2002-12-01,5660
360,2003-01-01,5610
361,2003-02-01,5569
362,2003-03-01,5565
363,2003-04-01,5605
364,2003-05-01,3798
365,2003-06-01,3498
366,2003-07-01,6546
367,2003-08-01,5145
368,2003-09-01,5475
369,2003-10-01,7566
370,2003-11-01,5659
371,2003-12-01,5663
372,2004-01-01,5071
373,2004-02-01,5130
374,2004-03-01,5564
375,2004-04-01,5607
376,2004-05-01,1883
377,2004-06-01,3767
378,2004-07-01,5611
379,2004-08-01,5588
380,2004-09-01,7445
381,2004-10-01,5296
382,2004-11-01,5573
383,2004-12-01,5563
384,2005-01-01,5565
385,2005-02-01,5560
386,2005-03-01,5559
387,2005-04-01,5630
388,2005-05-01,3734
389,2005-06-01,3744
390,2005-07-01,7454
391,2005-08-01,5587
392,2005-09-01,5577
393,2005-10-01,5574
394,2005-11-01,5574
395,2005-12-01,5568
396,2006-01-01,5572
397,2006-02-01,5563
398,2006-03-01,5556
399,2006-04-01,5570
400,2006-05-01,5575
401,2006-06-01,5586
402,2006-07-01,5595
403,2006-08-01,5628
404,2006-09-01,3726
405,2006-10-01,3171
406,2006-11-01,4806
407,2006-12-01,4417
408,2007-01-01,4870
409,2007-02-01,5001
410,2007-03-01,4745
411,2007-04-01,3502
412,2007-05-01,3568
413,2007-06-01,3342
414,2007-07-01,4239
415,2007-08-01,4310
416,2007-09-01,3604
417,2007-10-01,1680
418,2007-11-01,3204
419,2007-12-01,4436
420,2008-01-01,2835
421,2008-02-01,2733
422,2008-03-01,2926
423,2008-04-01,2860
424,2008-05-01,3485
425,2008-06-01,3849
426,2008-07-01,3613
427,2008-08-01,4994
428,2008-09-01,3129
429,2008-10-01,2939
430,2008-11-01,3139
431,2008-12-01,2660
432,2009-01-01,1847
433,2009-02-01,2759
434,2009-03-01,2938
435,2009-04-01,1915
436,2009-05-01,1912
437,2009-06-01,1913
438,2009-07-01,3832
439,2009-08-01,1918
440,2009-09-01,3835
441,2009-10-01,1914
442,2009-11-01,1917
443,2009-12-01,3836
444,2010-01-01,1920
445,2010-02-01,1922
446,2010-03-01,1914
447,2010-04-01,3836
448,2010-05-01,1915
449,2010-06-01,1915
450,2010-07-01,3829
451,2010-08-01,1916
452,2010-09-01,3829
453,2010-10-01,1915
454,2010-11-01,1918
455,2010-12-01,3271
456,2011-01-01,1856
457,2011-02-01,1908
458,2011-03-01,1915
459,2011-04-01,1913
460,2011-05-01,0
461,2011-06-01,1915
462,2011-07-01,0
463,2011-08-01,1911
464,2011-09-01,1916
465,2011-10-01,0
466,2011-11-01,1936
467,2011-12-01,0
468,2012-01-01,0
469,2012-02-01,0
470,2012-03-01,0
471,2012-04-01,0
472,2012-05-01,2794
473,2012-06-01,2386
474,2012-07-01,0
475,2012-08-01,2443
476,2012-09-01,0
477,2012-10-01,1719
478,2012-11-01,0
479,2012-12-01,0
480,2013-01-01,0
481,2013-02-01,0
482,2013-03-01,0
483,2013-04-01,0
484,2013-05-01,0
485,2013-06-01,0
486,2013-07-01,0
487,2013-08-01,0
488,2013-09-01,0
489,2013-10-01,0
490,2013-11-01,0
491,2013-12-01,0
492,2014-05-01,1886
493,2014-07-01,2809
494,2014-08-01,2846
495,2014-09-01,2886
496,2014-10-01,2884
497,2015-01-01,0
498,2015-02-01,0
499,2015-03-01,0
500,2015-04-01,0
501,2015-05-01,0
502,2015-06-01,0
503,2015-07-01,2753
504,2015-08-01,2753
505,2015-09-01,0
506,2015-10-01,2755
507,2015-11-01,0
508,2015-12-01,0
509,2016-01-01,0
510,2016-02-01,0
511,2016-03-01,0
512,2016-04-01,0
513,2016-05-01,0
514,2016-06-01,0
515,2016-07-01,0
516,2016-08-01,0
517,2016-09-01,0
518,2016-10-01,0
519,2016-11-01,0
520,2016-12-01,11137
521,2017-01-01,10533
522,2017-02-01,3705
523,2017-03-01,0
524,2017-04-01,7398
525,2017-05-01,3667
526,2017-06-01,3683
527,2017-07-01,0
528,2017-08-01,3614
529,2017-09-01,0
530,2017-10-01,6725
531,2017-11-01,0
532,2017-12-01,13893
533,2018-01-01,3615
534,2018-02-01,7099
535,2018-03-01,0
536,2018-04-01,10967
537,2018-05-01,12782
538,2018-06-01,9820
539,2018-07-01,13438
540,2018-08-01,10286
541,2018-09-01,16698
542,2018-10-01,3017
543,2018-11-01,23835
544,2018-12-01,13977
545,2019-01-01,17495
546,2019-02-01,10320
547,2019-03-01,7143
548,2019-04-01,14231
549,2019-05-01,7149
550,2019-06-01,14582
551,2019-07-01,21242
552,2019-08-01,17506
553,2019-09-01,28084
554,2019-10-01,24504
555,2019-11-01,17603
556,2019-12-01,21226
557,2020-01-01,32280
558,2020-02-01,21360
559,2020-03-01,21845
560,2020-04-01,18387
561,2020-05-01,13729
562,2020-06-01,21836
563,2020-07-01,10618
